id,name,city,province,description,category,metadata,ratings,budget,latitude,longitude,operating hours,contact information
94,Sounds Like Coffee,Imus,Cavite,"""Pet friendly café with WiFi. Their signature drink is sea salt latte.""",Cafe,"""""",4.7,200,14.42912506,120.9389342,2:00 PM - 10:00PM Daily,NaN
95,Classic Homebrew Cafe,Imus,Cavite,"""Homey café serving brewed coffee and quiet seating""",Cafe,"""Cozy""",4.4,200,14.42671448,120.9360303,2:00PM - 12:30AM Daily,NaN
96,Kapesalayaw,Imus,Cavite,"""Beach house themed cafe with deck views""",Cafe,"""Beach-themed""",4.7,150,14.40676609,120.9389038,10:00AM - 12:00AM Daily,0960 893 1203
97,Paw & Bean Cafe,Imus ,Cavite,"""Pet friendly café with al fresco seating""",Cafe,"""Garden, Pet-Friendly""",4.7,200,14.43954935,120.9343069,3:00PM - 10:00PM Daily,https://www.facebook.com/profile.php?id=100085286887746
98,Kalyehon Cafe,Imus,Cavite,"""Art space turned café with monthly exhibits""",Cafe,"""Art, Gallery, Café""",4.6,200,14.44301262,120.9241075,3:00PM - 9:30PM Daily,0917 555 6093
99,Cloudbrew Cafe,Imus,Cavite,"""Café serving coffee and savory dishes near Daang Hari""",Cafe,"""""",4.5,150,14.38835625,120.9699402,12:00PM - 9:00PM Daily,https://linkpop.com/cloudbrewph-slug-cloudbrewph
100,Casa de Celo,Imus ,Cavite,"""Neighborhood spot serving Filipino dishes and brews, Mostly known for their sizzling tofu and crispy pata""",Restaurant,"""Filipino, Cuisine, Local""",4.7,200,14.42816546,120.9374276,10:00AM - 2:00AM Daily,https://www.facebook.com/casadecelo
101,Mang Kok’s,Imus,Cavite,"""Known for its pizza-style baked macaroni and family-style meals.""",Restaurant,"""Western-Filipino""",4.5,200,14.40204713,120.9590769,"""12:00 PM - 12:00 AM Sat Sun, 3:00 PM - 12:00AM Tues-Fri""",0960 204 2813
102,Hybrid Project,Imus,Cavite,"""Modern bar restaurant with international dishes. Known for their Bulalong Puti""",Restaurant,"""Chill, International, Fusion""",3.7,300,14.42878307,120.9370139,10:00AM - 12:00AM Daily,https://www.facebook.com/hybridprojectcavite
103,Villa Alberto Resort,Bacoor,Cavite,"""Premier public and private resort with pools and cottages and event spaces""",Resort,"""Pool, Cottage, Outing""",4.5,200,14.44968982,120.9692713,8:00 AM - 10:00PM,https://www.facebook.com/varesortbacoor/
104,Villa Camagong Resort,Bacoor,Cavite,"""Private resort ideal for gatherings with spacious rooms and pool""",Resort,"""Private, Pool, Events""",4.6,6500,14.42631785,120.9652836,8:00 AM - 5:00 PM,https://www.facebook.com/villacamagong/
105,Garden Vylah Resort,Bacoor,Cavite,"""Garden-inspired private resort with large pool and event area.""",Resort,"""Garden, Pool, Events""",4.6,5500,14.40465725,120.965782,Open 24 hours daily,0917 170 9575 and https://www.facebook.com/GardenVylah/
106,Cool Martin Resort,Bacoor,Cavite,"""Cozy resort with swimming pool and family accommodations.""",Resort,"""Pool, Family-friendly""",4.3,2000,14.44549104,120.9578894,Open 24 hours daily,0917 582 8790 or coolmartinfamilyhotel.com
107,One Serenata Hotel,Bacoor,Cavite,"""Modern hotel with comfortable rooms and amenities""",Hotel,"""Modern, Comfortable""",4,2000,14.44944044,120.9327921,Open 24 hours daily,046 434 5576
108,Kainan Sa Balsa,Bacoor,Cavite,"""Modern Filipino cuisine with creative twists. Dishes include Inihaw na Panga ng Tuna and Ensaladang Talong""",Restaurant,"""Filpino, Traditional, Fusion""",4.3,300,14.4576812,120.9323763,10:00 AM - 10:00 PM Daily,046 434 6498
109,Manam,Bacoor,Cavite,"""Modern Filipino cuisine with creative twists. Their most poular dishes are Crispy Pancit Palabok, Fresh Lumpiang Ubod,  and Crispy Pata Tim""",Restaurant,"""Modern, Filipino, Fusion""",4.9,400,14.44540826,120.9515002,10:00 AM - 10:00 PM Daily,momentfood.com
110,Tirona's Grill,Bacoor,Cavite,"""Asian fusion restaurant with seafood specialties.""",Restaurant,"""Asian, Fusion, Seafood""",4.1,300,14.45002146,120.9344978,9:00AM - 3:00AM Daily,0929 658 3985
111,Wanderlust Cafe,Trece Martires,Cavite,"""A newly opened garage café offering cozy and inviting atmosphere.""",Cafe,"""Hidden gem, Chill, Relaxing""",4.5,300,14.28396886,120.8541662,8:00AM - 12:00AM,0969 496 5787
112,Alitaptap Art Cafe,Amadeo,Cavite,"""Set within an artists' community also offering alfresco dining amidst artworks and occasional live music.""",Cafe,"""Live music, art gallery, hidden gem""",4.2,300,14.20621111,120.9216839,10:00AM - 9:00PM Daily except Monday and Tuesday,0955 307 8472 and https://www.facebook.com/alitaptapartcafe
113,Gallery & Cafe,Silang,Cavite,"""A serene spot where coffee, art, and nature converge, offering a tranquil environment""",Cafe,"""Art gallery, Café, Nature-inspired""",4.5,200,14.18453972,120.9623578,NaN,NaN
114,Dreamlands Arts & Crafts Cafe,Tagaytay,Cavite,"""A bohemian-themed cozy café with handcrafted décor""",Cafe,"""Cozy, Art, Café""",4.3,200,14.11752233,120.9642537,9:00AM - 9:00 PM Daily,NaN
115,Siglo Farm Cafe,Indang,Cavite,"""A serene garden cafe nestled within the Paraiso Farm Resort. Offering an alfresco dining experience amidst lush greenery. Signature dishes include Adobong Antigo, Salmon Teriyaki, and a variety of freshly baked pastries. """,Cafe,"""Hidden gem, Rustic, Serene""",4.6,400,14.16410474,120.8904842,10:00AM - 10:00PM Daily,NaN
116,Cafe Carolina,Amadeo,Cavite,"""A cozy and inviting café that offers warm ambiance perfect for relaxation and reading.""",Cafe,"""Hidden gem""",4.6,300,14.13558562,120.932646,8:00 AM - 10:00PM Daily,0977 127 6208 and https://www.facebook.com/cafecarolinaph/
117,Bueno Express Cafe,Bacoor,Cavite,"""A pet-friendly café offering a cozy ambiance and a variety of coffee blends.""",Cafe,"""Pet-friendly, Chill, Instagrammable""",4.8,300,14.40729061,120.9730395,10:00AM - 10:00PM Daily,https://www.instagram.com/buenoexpressocafe
118,Coffee Gus To,Dasmarinas,Cavite,"""A modern café offering a wide selection of coffee, frappes, milk tea, and hearty meals in a peaceful ambiance.""",Cafe,"""Hidden gem, Coworking, Cozy""",4.4,200,14.37435713,120.9205599,11:00AM - 11:00PM,0956 280 7813 and https://www.facebook.com/coffeegustoph
119,Tinatangi Cafe ,Dasmarinas,Cavite,"""A charming café known for its cozy ambiance and selection of handcrafted beverages and pastries.""",Cafe,"""Hidden gem, Instagrammable, Cozy""",4.5,200,14.34973974,120.9738111,7:00AM - 12:00AM,NaN
120,So It Goes Cafe ,Dasmarinas,Cavite,"""A vintage-retro themed coffee shop offering a unique atmosphere and a variety of coffee blends.""",Cafe,"""Vintage, Unique, Cozy""",4.8,200,14.32722178,120.9417949,10:00AM - 12:00AM Daily,0918 553 8111
121,Diocesan Shrine of San Agustin,Tanza,Cavite,"""A historic church established in 1780 known for its Earthquake Baroque architecture and cultural significance.""",Historical Site,"""Heritage, Religious""",4.8,0,14.40158988,120.8570093,5:00AM - 11:30PM,NaN
122,Hardin ng Postema ,Tanza,Cavite,"""A family-friendly resort featuring animal and dinosaur animatronics ideal for children and leisure walks.""",Resort,"""Family-friendly, Recreational""",4.5,150,14.37530723,120.8249102,NaN,NaN
123,Villa Excellance ,Tanza,Cavite,"""A beach resort offering wave pools and various water activities perfect for family outings.""",Resort,"""Family-friendly, Recreational""",4,3000,14.38262754,120.8222651,"Check in time 2:00PM, Check out 12:00PM",0916 523 2802
124,Hotel and Oasis Resort,Tanza,Cavite,"""A premier hotel, and resort offering luxurious accommodations, and event spaces and, a beachfront view.  Suites include sitting areas. A 1-bedroom suite offers a living room, and a 4-bedroom suite provides a kitchenette.""",Resort,"""Luxury, Events, Beachfront""",4.2,3500,14.36024015,120.7917793,"""Check in time 2:00PM, Check out 12:00PM""",tanzaoasis.com
125,Aqua Mira ,Tanza,Cavite,"""A modern resort featuring a large pool, garden, and comfortable rooms ideal for family getaways.""",Resort,"""	Family-Friendy, Relaxing, Modern""",4.1,3000,14.31172728,120.8234356,"""Check in time 2:00PM, Check out 12:00PM""",0956 641 7009
126,Sibsib Baybayin ,Tanza,Cavite,"""A beachfront resort offering simple accommodations and a peaceful environment for relaxation.""",Resort,"""Budget-friendly, Beachfront""",4.6,2000,14.34900575,120.7839096,"""Check in time 2:00PM, Check out 12:00PM""",
127,Shang Garden,Tanza,Cavite,"""A well-regarded Chinese restaurant known for authentic dishes and a cozy ambiance.""",Restaurant,"""Chinese, Authentic, Family-Friendly""",3.9,700,14.36022414,120.7916374,6:00 AM - 11:00PM Daily,NaN
128,Calle Real,Tanza,Cavite,"""A local favorite offering Filipino cuisine comfort food in a homey setting.""",Restaurant,"""Traditional, Homestyle""",4.2,400,14.40010204,120.8606087,10:00 AM - 9:00 PM Daily,046 418 1574
129,Cafe BLK & BROWN,Tanza,Cavite,"""A modern café offering a variety of coffee blends and desserts in a minimalist setting.""",Cafe,"""Minimalist, Modern, Desserts, """,4.7,200,14.35284452,120.7965083,10:00 AM - 10:00 PM Daily,https://cafeblkandbrwn.my.canva.site/home
130,NCY Cafe ,Tanza,Cavite,"""Offers a wide range of coffee and food options in a cozy setting, perfect for casual meetup""",Cafe,"""Casual, Cozy""",4.9,200,14.39572485,120.8597283,1:00PM - 10:00PM Daily,0962 770 5023
131,Trece Cafe  & Kitchen,Trece Martires,Cavite,"""A homey café located in San Agustin offering a diverse menu of coffee, pastries, and hearty meals. The warm interiors and friendly staff create a welcoming environment for casual meetups and solo diners alike.""",Cafe,"""Cozy, Minimalist""",4.8,200,14.28619869,120.8602965,10:00AM - 12:00AM Daily,0962 840 0196
132,Kura Cafe ,Trece Martires,Cavite,"""Offers a cozy and relaxing atmosphere. Known for its strong yet smooth Barista Blend coffee,assorted pastries, and affordable meals. The cafe is air-conditioned, pet-friendly and provides free Wi-Fi making it ideal for remote work.""",Cafe,"""Cozy, Pet-friendly, Coworking""",4,200,14.28481953,120.8630355,10:00AM - 11:00PM,https://utak.io/store/kuracafetrece
133,Kanlungan Cafe ,Trece Martires,Cavite,"""A hidden gem cafe that boasts a rustic charm with its wooden interiors and garden setting. It offers a selection of handcrafted beverages and light snacks.""",Cafe,"""Relaxing, Hidden, Gem""",4.7,300,14.2829042,120.8502109,11:00 AM - 9:00PM Daily,0968 415 0503
134,Mayang Falls,Trece Martires,Cavite,"""Also known as Sta. Rosa Falls. The only known waterfalls in Trece Martires. It offers a natural retreat amidst lush greenery. Ideal for nature enthusiasts and those seeking a serene escape.""",Natural Attraction,"""Waterfall, Nature, Ecotourism""",4.2,0,14.24183992,120.8920825,Open 24 hours daily,NaN
135,Lola's Plate and Pours,Trece Martires,Cavite,"""A cozy and pet-friendly restaurant with airconditioned and al fresco options. Signature dishes include Crispy Pork Kare Kare, and Baked Scallops with cheese and garlic""",Restaurant,"""Pet-friendly, Cozy, Filipino cuisine""",4.7,400,14.28938378,120.8910591,10:00AM - 12:00AM Daily,0927 142 0031
136,Chef Choi's House of Biryani	,Trece Martires,Cavite,"""An Indian and Middle Eastern eatery offering authentic biryani and grilled meats. Signature dish is Mutton Biryani cooked with aromatic spices""",Restaurant,"""Indian-Middle Eastern Cuisine, Halal, Biryani""",4.7,400,14.28204958,120.8507566,11:00AM - 9:00PM,0917 317 4667
137,Mikay's,General Trias,Cavite,"""A family style restaurant known for big servings, and home cooked favorites. Signature dishes include Grilled Liempo, and Seafood Paella""",Restaurant,"""Family-friendly, Recreational""",4.3,300,14.3771952,120.8840105,11:30AM - 9:30PM,0949 747 2589
138,Ilog Maria Honeybee Farm,Silang,Cavite,"""An eco friendly bee farm producing organic honey and wellness products offering educational tours on sustainable beekeeping practices.""",Farm,"""Ecofriendly, Educational, Nature""",4.6,300,14.19019268,120.9676936,8:00AM - 5:00PM Daily,ilogmaria.com
139,Acienda Designer Outlet,Silang,Cavite,"""The first true international outlet mall in the Philippines featuring over 100 fashion brands at discounted prices, set in a European inspired village setting.""",Leisure,"""Fashion, Shopping, Modern""",4.5,0,14.18372752,120.9605912,10:00AM - 9:00PM,aciendadesigneroutlet.com
140,Cornerstone Pottery Farm,Silang,Cavite,"""An artisan pottery studio offering hands on workshops amid scenic gardens providing pottery classes, and handcrafted ceramics.""",Leisure,"""Artisan, Pottery, Creative""",4.6,500,14.1951376,120.950149,8:00AM - 5:00PM Daily,cornerstonepotteryfarm.com
141,Cafe Agapita,Silang,Cavite,"

""A family run café with a chic two story house featuring glass windows offering a homey ambiance with alfresco dining surrounded by lush greenery.""",Cafe,"""Homey, Alfresco, Scenic""",4.5,300,14.23001128,120.974039,7:00AM -10:00PM,cafeagapita.com
142,Two Summers Cafe ,Silang,Cavite,"

""A cozy neighborhood café with a rustic beachfront ambiance offering espresso based drinks and delectable snacks in a warm and inviting setting.""",Cafe,"""Cozy, Rustic, Inviting""",4.7,300,14.22774157,120.9756684,9:00AM - 8:00PM,NaN
143,FILTR. Coffee,Silang,Cavite,"""A minimalist café offering great coffee and good ambiance popular among cyclists and those seeking a peaceful hideout down south.""",Cafe,"""Minimalist, Peaceful, Cyclist""",4.7,300,14.24950605,121.0481953,7:00AM - 8:00PM,filtrcoffee.pickup.ph
144,The Park,Silang,Cavite,"""A resort style property offering glamping tents multiple pools a full service spa and private plunge pool suites.""",Resort,"""Luxury, Glamping, Relaxing	""",4.5,4000,14.22239809,121.0312699,"
Check-in time: 2:00 PM
 Check-out time: 12:00 PM",theparksilang.com or 0917 800 5367
145,Shambala Silang,Silang,Cavite,"""A nature immersive dining space and art gallery built in indigenous style huts offering Filipino heritage flavors""",Restaurant,"""Upscale, Romantic, Scenic""",4.6,500,14.17014684,120.9820103,NaN,0927 594 0337
146,The Unknown,Silang,Cavite,"""A contemporary café, and bar hosting vibrant live music, and creative culinary offerings into the late hours.""",Cafe,"""Nightlife, Trendy""",4.9,700,14.15357893,120.9950971,10:00AM - 12:00AM Daily,theunknowncbr.com
147,Coffee Builders,Silang,Cavite,"""A modern coffee shop with an industrial loft ambiance offering specialty beverages and light meals in ample space""",Cafe,"""Modern, Comfortable, Accessible""",4.6,200,14.24207025,120.9970081,10:00AM - 10:00PM Daily,NaN
148,Third Bloom Cafe,Maragondon,Cavite,"""Cozy café offering handcrafted coffee, iced lattes, and a selection of pastries, and brunch meals perfect for study or casual hangouts.""",Cafe,"""Cozy""",5,200,14.325059,120.7732016,11:00AM - 9:00PM Daily,046 889 9181
149,Handaan Cavite,Maragondon,Cavite,"""Local eatery famous for authentic Filipino dishes such as kare-kare crispy pata and grilled seafood in a homey ambiance.	""",Restaurant,"""Filipino, Cuisine, Local""",4.7,400,14.32676183,120.7748726,11:00AM - 8:00PM,0994 890 4142
150,Little HQ Cafe,Indang,Cavite,"""Hidden gem known for brunch food signature hot chocolate and espresso blends served in a minimalist and quiet setting.""",Cafe,"""Brunch, Hidden, Gem""",4.7,200,14.22247359,120.8456934,11:00AM - 8:00PM,0919 818 6165
151,Riverfront Garden Resort,Maragondon ,Cavite,"""A nature-inspired resort offering riverside accommodations lush gardens and a tranquil ambiance.""",Resort,"""Nature, Relaxing, Chill""",4.3,2800,14.27616953,120.7285341,"""Check in time 2:00PM, Check out 12:00PM""",https://www.facebook.com/riverfrontgardenresort
152,Arvic Seaside Beach Resort,Naic,Cavite,"""Affordable seaside resort with beachfront access.""",Resort,"""Seaside, Budget, Casual""",4.1,2000,14.32198508,120.7536009,"""Check in time 2:00PM, Check out 12:00PM""",0956 912 5625
153,EMV Flower Farm,Indang,Cavite,"""A flower farm established since 2013 with 3.5 hectares of gorgeous blooms including more than 15 types of chrysanthemums""",Farm,"""Relaxing, Photoshoot, Flowers""",4.7,100,14.19996511,120.8559132,8:00AM - 5:00PM Daily,0977 729 0168
154,Pantihan Falls,Maragondon,Cavite,"""A scenic waterfall tucked in the forest, ideal for day hikes and picnics.""",Natural Attraction,"""Waterfall, Nature, Hiking, Spot	""",4,0,14.26080155,120.7833112,8:00AM - 7:00PM,NaN
155,Honorio's Restaurant,Maragondon,Cavite,"""Filipino boodle fights  grilled seafood  and home-style dishes with large nipa hut seating and riverbank views.""",Restaurant,"""Filipino, Family, Local""",4.5,300,14.27901422,120.7398735,8:00AM - 8:00PM,0997 754 5108
156,The Veranda by Chace & Cherrie,Maragondon,Cavite,"""Elegant restaurant serving modern Filipino and continental dishes on a verandah overlooking gardens. """,Restaurant,"""Modern, Filipino, """,4.6,400,14.27224067,120.740741,3:00PM - 10:00PM Daily,NaN
157,Mount Sea Resort,Rosario,Cavite,"""Seaside resort with grand hotel accommodations waterfront pool, and fine-dining restaurant""",Resort,"""Luxury, Beachfront""",4.1,3300,14.42376159,120.8630779,"""Check in time 2:00PM, Check out 12:00PM""",mountsearesorts.com
158,La Josephina Coffee & Pastries,Amadeo,Cavite,"""A rustic-themed cafe known for its cozy garden ambiance, ideal for casual dining and relaxing. It offers a peaceful escape surrounded by greenery.""",Cafe,"""Cozy, Serene, Hidden, Gem""",4.5,300,14.16177815,120.92678,8:00 AM - 9:00 PM,https://www.facebook.com/lajosephinacafe
159,Salakot Cafe,Silang,Cavite,"""Filipino-inspired café featuring traditional nipa huts wooden décor, and a scenic countryside view. Offers native dishes signature local brews and a relaxing nature-rich atmosphere.""",Cafe,"""Traditional, Scenic, Relaxing""",4.6,300,14.19314922,120.9631486,9:00 AM - 10:00 PM Daily,http://www.facebook.com/salakotcafe/
160,Cake's Coffee,Amadeo,Cavite,"""Quaint and charming cafe offering homemade cakes comfort food and locally sourced coffee.""",Cafe,"""Cozy, Homestyle, Sweet""",4.7,200,14.2066496,120.9339826,8:00 AM - 8:00 PM Daily,NaN
161,Cakes and Sprinkles,General Trias,Cavite,"""A vibrant dessert café known for its colorful pastries specialty cakes, and cheerful atmosphere perfect for casual hangouts""",Cafe,"""Minimalist, Calm, Dreamy""",4.1,300,14.29309589,120.9139928,11:00AM - 9:00PM,NaN
162,Ivo's Kitchen,General Trias,Cavite,"""Countryside-style cafe and restaurant in Silang offering Filipino comfort food with a modern twist set in a homey, garden-inspired space""",Restaurant,"""Homey, Flavorful, Relaxing""",4.7,200,14.29282903,120.9129384,10:30 AM - 8:00 PM,https://web.facebook.com/ivos.kitchen.gentri
163,Camp Benjamin,Alfonso,Cavite,"""Eco-adventure resort with a zipline, bubble slide, obstacle course, infinity pool and glamping tents """,Resort,"""Adventure, Luxury""",4.4,6000,14.15310513,120.8502028,"""Check in time 2:00PM, Check out 12:00PM""",0927 856 8779
164,Queens Strawberry Farm & Restaurant,Alfonso,Cavite,"""An agricultural tourism farm and restaurant with strawberry-infused menus like salads, desserts, and shakes. Amenities include koi poinds, fishing, and a walk through their strawberry farm.""",Farm,"""Strawberry, Farm-to-Table""",4.2,600,14.08791949,120.8669169,8:00 AM - 7:00PM,NaN
165,Kap'ean Coffee Shop,Alfonso,Cavite,"""A laid-back coffee spot in Amadeo serving locally grown brews and light snacks in a warm minimalist space with native touches and a welcoming vibe.""",Cafe,"""Local, Minimalist, Welcoming""",4.2,200,14.07960924,120.8452638,7:00 AM - 9:00 PM Daily,NaN
166,Siglo Brew,Tagaytay,Cavite,"""A café and craft beer bar within View Park Hotel, combining Filipino cultural design with modern aesthetics, serving single-origin Philippine coffees and local craft beers in indoor and al fresco settings by the poolside""",Cafe,"""Local, Hidden Gem, Al Fresco""",4.7,200,14.12622197,120.9966877,11:00 AM - 9:00PM Daily,NaN
167,Dahon at Mesa,Tagaytay,Cavite,"""A rustic garden café perched on Tagaytay Ridge, offering panoramic views of Tagaytay. Known for barako latte, and crispy tuyo, pandesal, breakfast combo""",Restaurant,"""Scenic, Rustic, Family-friendly""",4.6,600,14.10130324,120.946079,6:00 AM - 9:00 PM Daily,0917 190 8877
168,Rosario Pamanang Panlasa,Tagaytay,Cavite,"""A modern heritage Filipino restaurant offering heirloom dishes passed through generations such as Kare Kare Asado, Tortang Alimasag, Embutido and Beef Bulalo with panoramic view of Taal.""",Restaurant,"""Filipino, Scenic""",4.8,600,14.09692017,120.9428768,10:00 AM - 10:00 PM,0919 077 7396
169,Kuuma Kakao,Tagaytay,Cavite,"""Kuuma Kaakao is a humble homegrown cafe in Tagaytay that serves traditional hot chocolate and Filipino delicacies. It also has a scenic view of Tagaytay""",Cafe,"""Dessert, Hot Chocolate, Cozy, Al Fresco""",4.3,200,14.1146208,120.9615084,9:00 AM - 6:00PM,0917 965 5084
170,Hillcreek Gardens,Tagaytay,Cavite,"""Hillcreek Gardens is a botanical garden venue in Tagaytay. It offers landscaped flower beds, paved walking paths, and themed garden zones. On-site amenities include a café serving light snacks and an event pavilion for private functions.""",Hotel,"""Scenic, Garden, Photography, Family Friendly""",4.6,7000,14.09979358,120.8825769,Open 24 hours daily,hillcreekgardenstagaytay.com
171,Barista Loft,Tagaytay,Cavite,"""Barista Loft in Tagaytay is a specialty coffee shop in Kaybagal South, Tagaytay that offers visitors and aspiring baristas a laid-back ambiance.""",Cafe,"""Cozy, Specialty Coffee, Artistic Vibes, Brunch Spot""",4.4,300,14.10188668,120.9295569,10:00 AM - 10:00 PM,(046) 435 0897
172,Driftwoods Action Park,Indang,Cavite,"""It has ATV trails, mountain-bike circuits, and rallycross tracks. Overnight options include cabins and tent sites. On-site amenities include BBQ pits, bike rentals, campfire areas, and evening karaoke""",Leisure,"""Adventure, Family Friendly, Camping, Off-Road""",4.5,500,14.15761134,120.9034842,8:00 AM - 5:00 PM,(046) 413 4677
173,Kaffe Belardo,Amadeo,Cavite,"""It serves single-origin Robusta and Excelsa beans brewed as pour-over, drip, or cold brew. Light pastries are available. Outdoor garden seating overlooks nearby fields.""",Cafe,"""Roadside, Al Fresco, Specialty Beans, Biker Pitstop""",4.5,200,14.15879813,120.9266182,8:00AM - 8:00PM,NaN
174,Kojiro Ojisan Food House,Silang,Cavite,"""Kojiro Ojisan Food House is a casual Japanese eatery in Silang. Signature dishes include koroke (croquettes), nabe yaki ramen, tempura, and rice bowls. Seating is limited, with simple wooden tables and counter service.""",Restaurant,"""Comfort Food, Hidden Gem, Japanese, Casual Dining""",4.3,300,14.2225159,120.9746315,12:30 PM - 7:30PM ,
175,Jacobs Hill,Tagaytay,Cavite,"""Rooms include air conditioning and private balconies. Free breakfast and brewed coffee are served daily. The property offers volcano-view terraces and garden seating. It is a short drive from local attractions.""",Hotel,"""Scenic, Staycation, Volcano View, Guesthouse""",4.2,2200,14.12575933,120.9805331,"""Check in time 2:00PM, Check out 11:00PM""", 0917 632 6920
176,Korean Temple,Silang,Cavite,"""A modern Buddhist sanctuary. It features pagodas, meditation halls, and landscaped courtyards. Visitors can join guided meditation sessions. The architecture and gardens reflect traditional Joseon-era design.""",Religious Site,"""Cultural, Photogenic, Spiritual, Heritage""",4.4,0,14.1951656,120.9923741,NaN,NaN
177,Loufil Orchard Resort,Indang,Cavite,"""Loufil Orchard Resort is a resort in Indang set within a fruit orchard. Accommodation options include cottages and pool-room villas. Facilities include a swimming pool, BBQ areas, and open lawns. The resort is pet-friendly and offers parking on site.""",Resort,"""Resort, Orchard, Poolside, Pet Friendly""",4.2,300,14.2279907,120.8830862,Open 24 hours daily,0917 770 8711
178,Villa Ibarra,Tagaytay,Cavite,"""Sophisticated and refined, this haven lures visitors with its accommodations that feature a charming, rustic country aesthetic, complemented by a peaceful and captivating atmosphere. Every room offers a luxurious bed adorned with silk accents, and is outfitted with wooden flooring and furnishings. Additionally, a trip to the Bistro for a taste of authentic Filipino-Spanish dishes is a must.""",Hotel,"""Boutique, Scenic, Poolside, Romantic""",4.4,4500,14.101681,120.947705,"""Check in time 2:00PM, Check-out  time: 12:00PM""",0917 701 6461
179,Stellar Potter Ridge Hotel,Tagaytay,Cavite," ""A relaxing hotel in Tagaytay with a promise of bringing its guests closer to nature. As one of the best hotels in the city, Stellar Potter’s Ridge offers tranquility and serenity to families, friends, and solo travelers.""",Hotel,"""Contemporary, Hilltop, Rooftop, Business Friendly""",4.3,3000,14.08368494,120.8780266,"""Check in time 2:00PM, Check out time: 11:00 AM""",(046) 413 5808
180,Tita Boots Kitchen,Silang,Cavite,"""Tita Boots Kitchen is a homey Filipino diner in Silang. It’s known for classic bulalo, crispy pata, and homemade ube bibingka. The cheerful interiors and family-style tables make it ideal for group meals.""",Restaurant,""" Comfort Food, Family Friendly, Filipino, Hearty""",4.2,400,14.23868785,120.9735385,10:00 AM to 9:00 PM daily,(046) 414 0696
181,Country Chateau Hotel,Tagaytay,Cavite,"""Country Chateau Hotel is a French-inspired country lodge near Tagaytay. It offers cozy cottages, a fine-dining bistro, and landscaped courtyards. Additional perks include free breakfast, a playground, and pet-friendly rooms.""",Hotel,"""European, Charming, Family Friendly, Pet Friendly""",4.4,3000,14.10305495,120.9423601,"""Check in time 2:00PM, Check out time 11:00 AM""",(02) 8404 6212
182,Our Lady of Manaoag,Tagaytay,Cavite,"""Intimate Catholic chapel & shrine featuring a colossal statue of the Virgin Mary & a panoramic deck.""",Religious Site,"""Religious, Heritage, Pilgrimage, Cultural""",4.7,0,14.12695797,120.9988974,8:00 AM - 6:00 PM Daily,NaN
183,Don Bosco Chapel on the Hill,Tagaytay,Cavite,"""A small, intimate chapel that offers a wonderful option for couples who want to take advantage of Tagaytay’s mountainside view and natural wonders.""",Religious Site,"""Spiritual, Scenic, Minimalist, Tranquil""",4.7,0,14.05755832,120.836287,NaN,0917 524 7192
184,Mount Palay - Palay National Park,Ternate,Cavite,"""Mountain area known for the strikingly vertical Pico de Loro summit, with rugged trails & sea views.""",Natural Attraction,""" Hiking, Nature, Protected, Adventure""",4.7,500,14.22697896,120.651048,NaN,NaN
185,Palsahingin Falls,Indang,Cavite,"""A two-storey waterfall surrounded by stone walls, boulders, and moss. Its walls used to gush with many spring water suitable for drinking. """,Natural Attraction,"""Waterfall, Swimming, Adventure, Nature""",4.4,0,14.1982941,120.8882286,NaN,NaN
186,St. Anthony Falls,Indang,Cavite,"""Known for its clear, cascading waters and lush surroundings, making it a great spot for swimming, relaxing, or enjoying nature.""",Natural Attraction,"""Waterfall, Family Friendly, Picnic, Rustic""",4.3,50,14.1937757,120.8647056,NaN,NaN
187,Le Don's Garden,Silang,Cavite,"""a premier al fresco events destination and restaurant located in Cavite. Our venue offers guests a top-quality experience with a charming rustic-chic aesthetic that’s perfect for any occasion""",Restaurant,"""Al Fresco, Garden, Tapas, Romantic""",4.2,300,14.24653625,120.9752847,10:00 AM - 9:00 PM Daily,ledonsgarden.com
188,Kampo Trexo,Alfonso,Cavite,"""outdoor destination located in Alfonso, Cavite, offering a variety of activities for those seeking a break from city life. It's a popular spot for outdoor enthusiasts""",Leisure,"""Tea House, Minimalist, Japanese, Cozy""",4.7,500,14.10933883,120.8472832,NaN,NaN
189,Bonne Riviere Nature Farm Resort,Indang,Cavite,""" a private campsite, events place, and a river resort that caters to nature lovers from all walks of life.""",Resort,"""Eco-Resort, Farmstay, Organic, Family Friendly""",4.5,220,14.19501484,120.848968,NaN,0998 352 3936
190,Tagaytay Highlands Animal Farm,Tagaytay,Cavite,"""Tagaytay Highlands Animal Farm is a petting zoo within a leisure estate. Visitors meet alpacas, goats, and tropical birds along shaded pathways. The farm café serves ice creams and locally made cheese.""",Leisure,"""Family Friendly, Petting Zoo, Educational, Scenic""",4,1000,14.14874736,121.0391213,8:00 AM - 6:00 PM Daily,(046) 483 0848
191,Water Camp Resort,Kawit,Cavite,"""Water Camp Resort is a waterpark resort in Kawit. It features wave pools, water slides, and floating obstacle courses. The property includes a poolside grill, cabana rentals, and locker rooms.""",Resort,"""Waterpark, Family Friendly, Active, Resort""",4.3,300,14.4375672,120.8964304,Open 24 hours daily,watercampresort.com
